(('2018 (115th, 2nd)', '17'), ('81', '18'))
(('2018 (115th, 2nd)', '16'), ('81', '18'))
(('2017 (115th, 1st)', '236'), ('5', '95'))
(('2017 (115th, 1st)', '233'), ('4', '94'))
(('2017 (115th, 1st)', '204'), ('87', '8'))
(('2017 (115th, 1st)', '199'), ('89', '8'))
(('2017 (115th, 1st)', '111'), ('54', '45'))
(('2017 (115th, 1st)', '73'), ('72', '27'))
(('2017 (115th, 1st)', '43'), ('54', '45'))
(('2017 (115th, 1st)', '31'), ('89', '8'))
(('2016 (114th, 2nd)', '161'), ('63', '36'))
(('2016 (114th, 2nd)', '82'), ('89', '8'))
(('2015 (114th, 1st)', '327'), ('45', '54'))
(('2015 (114th, 1st)', '325'), ('54', '45'))
(('2015 (114th, 1st)', '319'), ('45', '54'))
(('2015 (114th, 1st)', '310'), ('79', '7'))
(('2015 (114th, 1st)', '280'), ('54', '45'))
(('2015 (114th, 1st)', '210'), ('54', '45'))
(('2015 (114th, 1st)', '195'), ('45', '54'))
(('2015 (114th, 1st)', '168'), ('45', '54'))
(('2015 (114th, 1st)', '137'), ('54', '45'))
(('2015 (114th, 1st)', '82'), ('45', '54'))
(('2015 (114th, 1st)', '14'), ('54', '45'))
(('2015 (114th, 1st)', '9'), ('54', '45'))
(('2015 (114th, 1st)', '7'), ('54', '45'))
(('2014 (113th, 2nd)', '273'), ('54', '45'))
(('2014 (113th, 2nd)', '253'), ('86', '8'))
(('2013 (113th, 1st)', '224'), ('81', '18'))
(('2013 (113th, 1st)', '220'), ('45', '54'))
(('2013 (113th, 1st)', '219'), ('81', '18'))
(('2013 (113th, 1st)', '185'), ('81', '18'))
(('2013 (113th, 1st)', '134'), ('45', '54'))
(('2013 (113th, 1st)', '129'), ('87', '8'))
(('2013 (113th, 1st)', '71'), ('45', '54'))
(('2013 (113th, 1st)', '69'), ('18', '81'))
(('2013 (113th, 1st)', '68'), ('45', '54'))
(('2013 (113th, 1st)', '53'), ('45', '54'))
(('2013 (113th, 1st)', '51'), ('45', '54'))
(('2013 (113th, 1st)', '50'), ('45', '54'))
(('2013 (113th, 1st)', '49'), ('45', '54'))
(('2013 (113th, 1st)', '43'), ('63', '36'))
(('2013 (113th, 1st)', '40'), ('45', '54'))
(('2013 (113th, 1st)', '37'), ('45', '54'))
(('2013 (113th, 1st)', '36'), ('54', '45'))
(('2013 (113th, 1st)', '12'), ('85', '8'))
(('2012 (112th, 2nd)', '251'), ('89', '8'))
(('2012 (112th, 2nd)', '192'), ('84', '8'))
(('2012 (112th, 2nd)', '183'), ('45', '54'))
(('2012 (112th, 2nd)', '163'), ('45', '54'))
(('2012 (112th, 2nd)', '150'), ('36', '63'))
(('2012 (112th, 2nd)', '140'), ('63', '36'))
(('2012 (112th, 2nd)', '136'), ('45', '54'))
(('2012 (112th, 2nd)', '92'), ('9', '89'))
(('2012 (112th, 2nd)', '68'), ('45', '54'))
(('2012 (112th, 2nd)', '51'), ('54', '45'))
(('2012 (112th, 2nd)', '6'), ('81', '18'))
(('2011 (112th, 1st)', '233'), ('72', '27'))
(('2011 (112th, 1st)', '222'), ('54', '45'))
(('2011 (112th, 1st)', '206'), ('87', '8'))
(('2011 (112th, 1st)', '165'), ('83', '8'))
(('2011 (112th, 1st)', '139'), ('84', '8'))
(('2011 (112th, 1st)', '133'), ('54', '45'))
(('2011 (112th, 1st)', '105'), ('83', '8'))
(('2011 (112th, 1st)', '103'), ('89', '8'))
(('2011 (112th, 1st)', '86'), ('54', '45'))
(('2011 (112th, 1st)', '29'), ('91', '9'))
(('2011 (112th, 1st)', '25'), ('87', '8'))
(('2010 (111th, 2nd)', '263'), ('88', '8'))
(('2010 (111th, 2nd)', '141'), ('63', '36'))
(('2010 (111th, 2nd)', '139'), ('63', '36'))
(('2010 (111th, 2nd)', '34'), ('54', '45'))
(('2009 (111th, 1st)', '376'), ('45', '54'))
(('2009 (111th, 1st)', '369'), ('54', '45'))
(('2009 (111th, 1st)', '338'), ('54', '45'))
(('2009 (111th, 1st)', '117'), ('89', '8'))
(('2008 (110th, 2nd)', '201'), ('88', '8'))
(('2008 (110th, 2nd)', '194'), ('83', '8'))
(('2008 (110th, 2nd)', '95'), ('88', '8'))
(('2007 (110th, 1st)', '430'), ('86', '8'))
(('2007 (110th, 1st)', '284'), ('85', '8'))
(('2007 (110th, 1st)', '152'), ('82', '8'))
(('2007 (110th, 1st)', '146'), ('88', '8'))
(('2007 (110th, 1st)', '39'), ('88', '8'))
(('2006 (109th, 2nd)', '207'), ('63', '36'))
(('2006 (109th, 2nd)', '161'), ('85', '8'))
(('2006 (109th, 2nd)', '24'), ('81', '18'))
(('2005 (109th, 1st)', '356'), ('83', '8'))
(('2005 (109th, 1st)', '317'), ('89', '8'))
(('2005 (109th, 1st)', '291'), ('54', '45'))
(('2005 (109th, 1st)', '282'), ('81', '18'))
(('2005 (109th, 1st)', '249'), ('90', '9'))
(('2005 (109th, 1st)', '170'), ('54', '45'))
(('2005 (109th, 1st)', '127'), ('81', '18'))
(('2005 (109th, 1st)', '104'), ('54', '45'))
(('2005 (109th, 1st)', '76'), ('45', '54'))
(('2005 (109th, 1st)', '71'), ('45', '54'))
(('2004 (108th, 2nd)', '80'), ('54', '45'))
(('2003 (108th, 1st)', '412'), ('88', '8'))
(('2003 (108th, 1st)', '344'), ('7', '87'))
(('2003 (108th, 1st)', '334'), ('54', '45'))
(('2003 (108th, 1st)', '72'), ('45', '54'))
(('2003 (108th, 1st)', '65'), ('45', '54'))
(('2002 (107th, 2nd)', '249'), ('90', '9'))
(('2002 (107th, 2nd)', '240'), ('89', '8'))
(('2001 (107th, 1st)', '351'), ('90', '9'))
(('2001 (107th, 1st)', '348'), ('27', '72'))
(('2001 (107th, 1st)', '311'), ('27', '72'))
(('2001 (107th, 1st)', '301'), ('89', '8'))
(('2001 (107th, 1st)', '200'), ('54', '45'))
(('2001 (107th, 1st)', '154'), ('45', '54'))
(('2001 (107th, 1st)', '153'), ('45', '54'))
(('2001 (107th, 1st)', '137'), ('45', '54'))
(('2001 (107th, 1st)', '34'), ('36', '63'))
(('2000 (106th, 2nd)', '278'), ('85', '8'))
(('2000 (106th, 2nd)', '277'), ('86', '8'))
(('2000 (106th, 2nd)', '272'), ('87', '8'))
(('2000 (106th, 2nd)', '265'), ('89', '8'))
(('2000 (106th, 2nd)', '230'), ('91', '9'))
(('2000 (106th, 2nd)', '214'), ('54', '45'))
(('2000 (106th, 2nd)', '207'), ('45', '54'))
(('2000 (106th, 2nd)', '177'), ('81', '18'))
(('2000 (106th, 2nd)', '110'), ('63', '36'))
(('2000 (106th, 2nd)', '102'), ('45', '54'))
(('2000 (106th, 2nd)', '90'), ('45', '54'))
(('2000 (106th, 2nd)', '62'), ('54', '45'))
(('1999 (106th, 1st)', '369'), ('80', '8'))
(('1999 (106th, 1st)', '334'), ('36', '63'))
(('1999 (106th, 1st)', '307'), ('45', '54'))
(('1999 (106th, 1st)', '299'), ('54', '45'))
(('1999 (106th, 1st)', '285'), ('36', '63'))
(('1999 (106th, 1st)', '282'), ('45', '54'))
(('1999 (106th, 1st)', '257'), ('89', '8'))
(('1999 (106th, 1st)', '196'), ('81', '18'))
(('1999 (106th, 1st)', '90'), ('54', '45'))
(('1999 (106th, 1st)', '84'), ('54', '45'))
(('1999 (106th, 1st)', '80'), ('45', '54'))
(('1999 (106th, 1st)', '79'), ('54', '45'))
(('1999 (106th, 1st)', '72'), ('54', '45'))
(('1999 (106th, 1st)', '61'), ('45', '54'))
(('1999 (106th, 1st)', '59'), ('45', '54'))
(('1998 (105th, 2nd)', '282'), ('54', '45'))
(('1998 (105th, 2nd)', '281'), ('63', '36'))
(('1998 (105th, 2nd)', '246'), ('45', '54'))
(('1998 (105th, 2nd)', '227'), ('63', '36'))
(('1998 (105th, 2nd)', '214'), ('90', '9'))
(('1998 (105th, 2nd)', '134'), ('72', '27'))
(('1998 (105th, 2nd)', '107'), ('90', '9'))
(('1998 (105th, 2nd)', '60'), ('54', '45'))
(('1998 (105th, 2nd)', '47'), ('45', '54'))
(('1998 (105th, 2nd)', '17'), ('45', '54'))
(('1997 (105th, 1st)', '272'), ('54', '45'))
(('1997 (105th, 1st)', '245'), ('36', '63'))
(('1997 (105th, 1st)', '229'), ('27', '72'))
(('1997 (105th, 1st)', '223'), ('45', '54'))
(('1997 (105th, 1st)', '203'), ('27', '72'))
(('1997 (105th, 1st)', '200'), ('54', '45'))
(('1997 (105th, 1st)', '190'), ('54', '45'))
(('1997 (105th, 1st)', '166'), ('72', '27'))
(('1997 (105th, 1st)', '131'), ('36', '63'))
(('1997 (105th, 1st)', '82'), ('81', '18'))
(('1996 (104th, 2nd)', '290'), ('27', '72'))
(('1996 (104th, 2nd)', '243'), ('45', '54'))
(('1996 (104th, 2nd)', '200'), ('72', '27'))
(('1996 (104th, 2nd)', '189'), ('36', '63'))
(('1996 (104th, 2nd)', '155'), ('45', '54'))
(('1996 (104th, 2nd)', '149'), ('63', '36'))
(('1996 (104th, 2nd)', '103'), ('36', '63'))
(('1996 (104th, 2nd)', '97'), ('36', '63'))
(('1996 (104th, 2nd)', '92'), ('36', '63'))
(('1996 (104th, 2nd)', '4'), ('82', '8'))
(('1995 (104th, 1st)', '600'), ('63', '36'))
(('1995 (104th, 1st)', '598'), ('90', '9'))
(('1995 (104th, 1st)', '583'), ('54', '45'))
(('1995 (104th, 1st)', '546'), ('72', '27'))
(('1995 (104th, 1st)', '533'), ('45', '54'))
(('1995 (104th, 1st)', '469'), ('45', '54'))
(('1995 (104th, 1st)', '458'), ('91', '9'))
(('1995 (104th, 1st)', '400'), ('45', '54'))
(('1995 (104th, 1st)', '384'), ('45', '54'))
(('1995 (104th, 1st)', '333'), ('54', '45'))
(('1995 (104th, 1st)', '316'), ('54', '45'))
(('1995 (104th, 1st)', '268'), ('81', '18'))
(('1995 (104th, 1st)', '246'), ('80', '8'))
(('1995 (104th, 1st)', '229'), ('81', '18'))
(('1995 (104th, 1st)', '220'), ('54', '45'))
(('1995 (104th, 1st)', '219'), ('54', '45'))
(('1995 (104th, 1st)', '214'), ('54', '45'))
(('1995 (104th, 1st)', '207'), ('63', '36'))
(('1995 (104th, 1st)', '168'), ('54', '45'))
(('1995 (104th, 1st)', '158'), ('88', '8'))
(('1995 (104th, 1st)', '104'), ('91', '9'))
(('1995 (104th, 1st)', '48'), ('63', '36'))
(('1995 (104th, 1st)', '43'), ('54', '45'))
(('1995 (104th, 1st)', '10'), ('54', '45'))
(('1994 (103rd, 2nd)', '306'), ('90', '9'))
(('1994 (103rd, 2nd)', '250'), ('91', '9'))
(('1994 (103rd, 2nd)', '244'), ('63', '36'))
(('1994 (103rd, 2nd)', '221'), ('91', '9'))
(('1994 (103rd, 2nd)', '190'), ('89', '8'))
(('1994 (103rd, 2nd)', '161'), ('72', '27'))
(('1994 (103rd, 2nd)', '76'), ('63', '36'))
(('1994 (103rd, 2nd)', '63'), ('90', '9'))
(('1993 (103rd, 1st)', '394'), ('63', '36'))
(('1993 (103rd, 1st)', '393'), ('54', '45'))
(('1993 (103rd, 1st)', '391'), ('36', '63'))
(('1993 (103rd, 1st)', '385'), ('54', '45'))
(('1993 (103rd, 1st)', '370'), ('36', '63'))
(('1993 (103rd, 1st)', '359'), ('91', '9'))
(('1993 (103rd, 1st)', '306'), ('90', '9'))
(('1993 (103rd, 1st)', '300'), ('81', '18'))
(('1993 (103rd, 1st)', '281'), ('91', '9'))
(('1993 (103rd, 1st)', '241'), ('54', '45'))
(('1993 (103rd, 1st)', '233'), ('72', '27'))
(('1993 (103rd, 1st)', '229'), ('35', '53'))
(('1993 (103rd, 1st)', '215'), ('63', '36'))
(('1993 (103rd, 1st)', '96'), ('54', '45'))
(('1993 (103rd, 1st)', '83'), ('54', '45'))
(('1993 (103rd, 1st)', '79'), ('54', '45'))
(('1993 (103rd, 1st)', '45'), ('54', '45'))
(('1993 (103rd, 1st)', '4'), ('63', '36'))
(('1992 (102nd, 2nd)', '267'), ('83', '8'))
(('1992 (102nd, 2nd)', '266'), ('84', '8'))
(('1992 (102nd, 2nd)', '119'), ('86', '8'))
(('1992 (102nd, 2nd)', '108'), ('90', '9'))
(('1992 (102nd, 2nd)', '105'), ('36', '63'))
(('1992 (102nd, 2nd)', '16'), ('88', '8'))
(('1991 (102nd, 1st)', '274'), ('86', '8'))
(('1991 (102nd, 1st)', '198'), ('8', '88'))
(('1991 (102nd, 1st)', '136'), ('81', '18'))
(('1991 (102nd, 1st)', '130'), ('54', '45'))
(('1990 (101st, 2nd)', '326'), ('54', '45'))
(('1990 (101st, 2nd)', '323'), ('89', '8'))
(('1990 (101st, 2nd)', '259'), ('90', '9'))
(('1990 (101st, 2nd)', '234'), ('45', '54'))
(('1990 (101st, 2nd)', '229'), ('63', '36'))
(('1990 (101st, 2nd)', '218'), ('81', '18'))
(('1989 (101st, 1st)', '304'), ('90', '9'))
(('1989 (101st, 1st)', '296'), ('36', '63'))
(('1989 (101st, 1st)', '292'), ('89', '8'))
(('1989 (101st, 1st)', '286'), ('89', '8'))
(('1989 (101st, 1st)', '227'), ('91', '9'))
(('1989 (101st, 1st)', '169'), ('83', '8'))
(('1989 (101st, 1st)', '157'), ('90', '9'))
(('1989 (101st, 1st)', '144'), ('72', '27'))
(('1989 (101st, 1st)', '99'), ('54', '45'))
(('1989 (101st, 1st)', '84'), ('89', '8'))
(('1989 (101st, 1st)', '67'), ('72', '27'))
